name,category,area,ownership_type,verified_source,notes
Fare on Eighth,restaurant,downtown,independent,https://www.fareoneighth.com,Allergen-friendly cafe and craft cocktails
Finders Keepers Flea Market & Antique Mall,retail,,independent,https://visitmeridian.com/things_to_do/finders-keepers-flea-market-antique-mall/,Antiques and vintage
Fitness Depot,fitness,south,independent,https://www.yelp.com/biz/fitness-depot-meridian-meridian,24-hr gym; Bonita Lakes Cir
Gaddis Family Dentistry,services,,independent,https://www.yelp.com/biz/gaddis-family-dentistry-meridian-2,Dental
General Supply & Machine Co.,retail,downtown,independent,https://downtownmeridian.org/explore/shop/,HVAC & mill supplies
Generations Fine Paper and Gifts,retail,downtown,independent,http://www.generationsmeridian.com,Stationery and gifts
Grand China Express,restaurant,,independent,https://www.restaurantji.com/ms/meridian/,Chinese; 4320 8th St
Great Southern National Bank,services,,independent,existing directory (greatsouthernbank.net),Community bank headquartered in Meridian
Hallie Ward Interiors,retail,downtown,independent,https://www.instagram.com/halliewardinteriors/,Interiors/art/antiques
Harvest Grill,restaurant,downtown,independent,https://www.harvestgrillms.com,Cross-country cuisine with MS produce
Havard Pest Control,services,,independent,https://www.havardpest.com/meridian-ms-pest-control/,MS family company since 1947; Meridian branch
Heblon Heating and Cooling,services,,independent,https://heblonheatingandcooling.com,HVAC
I Just Have To Have It,retail,downtown,independent,https://ijusthavetohaveit.com,Apparel and jewelry boutique
Imperial Cleaners & Laundry,services,,independent,https://www.yelp.com/biz/imperial-cleaners-and-laundry-meridian,Dry cleaning since 1944
Island 601 (The),restaurant,downtown,independent,https://downtownmeridian.org/explore/eat-drink/,Jamaican
J & J Tire & Muffler,auto,,independent,https://jjtireandmuffler.com,Family-owned since 1978
James F. Webb Funeral Home,services,,independent,existing directory,Funeral home
Jean's American Eatery,restaurant,downtown,independent,https://eatjeans.com,Comfort food; 40+ years
Jersey Mike's Subs Meridian,restaurant,north,franchise-assumed-local,https://www.restaurantji.com/ms/meridian/,Review names local owner (Jamie); N Frontage Rd
Jones Cleaners,services,,independent,https://www.embdc.org/support-growth/member-spotlight/jones-,Dry cleaning since 1940; EMBDC member
JR's Lounge,entertainment,,independent,https://www.restaurantji.com/ms/meridian/,Owner-run bar with line dancing; Russell Dr
La Pinata,restaurant,,independent,https://www.restaurantji.com/ms/meridian/,Mexican; 18th Ave S
LaBiche Jewelers,retail,downtown,independent,https://www.labichejewelers.com,Fine jewelry with in-house jeweler
Lawrence's Jewelry & Repair,retail,downtown,independent,https://lawrences-repair.edan.io,Jewelry and repair
Liberty Shop (The),retail,downtown,independent,https://thelibertyshop.square.site,Women's boutique; 45 years
Loeb's,retail,downtown,independent,https://www.loebsclothing.com,Clothing/footwear anchor since 1887
Lucille's,restaurant,,independent,https://www.restaurantji.com/ms/meridian/,BBQ/burgers; 4304 5th St
Magnolia Restaurant,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Southern home cooking; N Frontage Rd
Margie's Mixing Bowl,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Bakery; Poplar Springs Dr
McRae's Tractor & Equipment,retail,,independent,existing directory,Equipment dealer
Meridian Animal Care Center / Riverbirch Animal Care,services,,independent,https://www.vetinmeridian.com,Veterinary
Meridian Animal Clinic,services,,independent,http://meridiananimalclinic.com,Veterinary since 1974
Meridian Family Dentistry,services,,independent,https://www.meridian-family-dentistry.com,Dental
Meridian Main Street Market (Hitching Lot Farmers' Market),other,downtown,independent,https://meridianmainstreetmarket.com,Seasonal farmers market of local vendors
Meridian Meats & Meridian Farm Market,retail,,independent,https://www.facebook.com/meridianmeats/,Butcher/meat market since 1989
Meridian Tire & Brake,auto,,independent,https://locations.bumpertobumper.com/ms/meridian/2886042/,Auto repair and tires
Meridian Underground Music,retail,downtown,independent,http://meridianundergroundmusic.com,Records and instruments since 1996
Mom and Pops,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Soul food; N Frontage Rd
Mr Rodgers Hamburgers,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Mom-and-pop burger institution; two Meridian locations
Mr Taco,restaurant,,independent,https://www.restaurantji.com/ms/meridian/,Authentic Mexican; 4606 8th St
New's Restaurant,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Home cooking; Poplar Springs Dr
Over The Moon,retail,downtown,independent,https://shopoverthemoonchildren.com,Children's clothing
PJ's Coffee Meridian,coffee,north,franchise-assumed-local,https://www.restaurantji.com/ms/meridian/,Franchised brand; assume local franchisee - confirm before featuring
Poplar Springs Animal Hospital,services,north,independent,https://www.yelp.com/biz/poplar-springs-animal-hospital-meridian,Veterinary
Precision Heating & Cooling,services,,independent,https://phcmm.com,HVAC
Punjab Palace,restaurant,south,independent,https://www.restaurantji.com/ms/meridian/,North Indian; S Frontage Rd
Queen City Cigar,retail,downtown,independent,https://www.facebook.com/queencitycigar,Cigar shop and lounge
Rea Shaw Giffin & Stuart LLP,services,,independent,https://www.rsgscpa.com,CPA firm
Rib Shack (The),restaurant,,independent,https://www.restaurantji.com/ms/meridian/,BBQ; 818 18th Ave
Rogers Florist,retail,,independent,https://rogersflorist.org,Third-generation florist
Rustler (The),restaurant,,independent,https://familydestinationsguide.com/best-restaurants-in-meridian-ms/,Family-owned steakhouse
Sake Sushi,restaurant,south,independent,https://www.restaurantji.com/ms/meridian/,Japanese/hibachi; S Frontage Rd
Sam's Fashion,retail,downtown,independent,https://www.facebook.com/samsfashion,Men's clothing
Saxon's Flowers & Gifts,retail,,independent,https://www.saxonsflowers.com,Florist 26+ years
Seafood Express,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Fried seafood; Hwy 39
Shape Up 24/7,fitness,downtown,independent,https://www.yelp.com/biz/shape-up-24-7-meridian,24-hr gym; Front St
Sip 305 Nutrition,coffee,north,independent,https://www.restaurantji.com/ms/meridian/,Smoothie/tea bar; Poplar Springs Dr
Snow Queen,restaurant,,independent,https://www.restaurantji.com/ms/meridian/,Snow cones / frozen treats; 4401 8th St
Southern Fryers,restaurant,north,independent,https://www.restaurantji.com/ms/meridian/,Southern plates; Hwy 39
Spacey's RocknRoll Tattoo,other,downtown,independent,https://www.spaceysrocknrolltattoo.com,Tattoo and cosmetic studio
Squealer's Bar-B-Que,restaurant,south,independent,https://www.restaurantji.com/ms/meridian/,BBQ; Great River Dr
Swain Buckalew & Collins P.A.,services,,independent,https://www.swaincpa.com,CPA firm
Temple Theatre for the Performing Arts,entertainment,downtown,independent,https://www.thetempletheatre.com,Historic privately-run theatre/cinema
Thomas HVAC Services,services,,independent,https://thomashvacservices.com,Family-owned since 1955
Threefoot Blooms,retail,downtown,independent,https://www.threefootblooms.com,Bespoke florals
Threefoot Brewing,restaurant,downtown,independent,https://www.threefootbrewing.com,Craft brewery and kitchen
Threefoot Hotel (The),other,downtown,franchise-assumed-local,https://threefoothotel.com,Locally developed hotel under Marriott Tribute flag - confirm ownership
Till-Newell Animal Hospital,services,Marion,independent,https://www.tillnewellanimalhospital.com,Oldest vet in county (1959)
Tipsy Gypsy Antiques and Gifts,retail,,independent,https://tipsygypsyantiquesandgifts.com,Antiques and vintage (opened 2025)
V Lounge,entertainment,downtown,independent,https://www.restaurantji.com/ms/meridian/,Bar and grill; 23rd Ave
Weidmann's,restaurant,downtown,independent,http://www.weidmanns1870.com,Mississippi's oldest restaurant (1870)
World of Flowers and Gifts,retail,,independent,https://worldofflowers.net,Florist since 1979
Back 9 Grill,restaurant,,independent,https://visitmeridian.com/eat/,Casual dining; Visit Meridian dining directory
Bua Thai Kitchen,restaurant,,independent,https://visitmeridian.com/eat/,Thai; Visit Meridian dining directory
Café 35,coffee,,independent,https://visitmeridian.com/eat/,Coffee/cafe; Visit Meridian dining directory
Carousel Cafe,coffee,,independent,https://visitmeridian.com/eat/,Coffee/cafe; Visit Meridian dining directory
The Bulldog Shop and Coffee Counter,coffee,downtown,independent,https://downtownmeridian.org/explore/shopping/,Campus store + coffee counter
The MAX Store,retail,downtown,independent,https://downtownmeridian.org/explore/shopping/,Mississippi-made art and goods
601 Sports,retail,,independent,https://visitmeridian.com/things-to-do/,Sports retail
Brand New You,retail,,independent,https://visitmeridian.com/things-to-do/,Retail boutique
Al's Garden & Gift,home-garden,,independent,https://visitmeridian.com/things-to-do/,Garden center and gift shop
Anderson Pharmacy,health-wellness,,independent,https://visitmeridian.com/things-to-do/,Independent pharmacy and gift shop
Kang Kutz,salon-spa,,independent,https://kangkutzllc.com/,Barbershop & salon
Rick B's Barber Shop,salon-spa,,independent,https://www.yelp.com/biz/rick-bs-barber-shop-meridian,"Barbershop, 3105 5th Ave"
Alice's Barber & Style Shop,salon-spa,,independent,https://www.yelp.com/biz/alices-barber-and-style-shop-meridian,"Barber & style shop, 4543 35th Ave"
Da Pull Up Barbershop,salon-spa,,independent,https://www.facebook.com/dapullupbarber/,"Barbershop, 4531 35th Ave"
CrossFit Ludus,fitness,,independent,https://www.yelp.com/biz/crossfit-ludus-meridian,"Small-group functional fitness, Hwy 45 N"
Encore Dance Company,fitness,,independent,https://www.facebook.com/encoredanceco.us/,"Dance studio, Hwy 39 N"
Briarwood Golf Club,fitness,,independent,https://visitmeridian.com/things-to-do/,Golf course
Battlefield Shooting Club,entertainment,,independent,https://visitmeridian.com/things-to-do/,Shooting range
Binachi Shooting Sport,entertainment,,independent,https://visitmeridian.com/things-to-do/,Shooting sports facility
The Service Company,home-trades,,independent,https://www.tscservice.com/about,"Family-owned mechanical/plumbing/electrical contractor, Meridian HQ"
Meridian Area Farmers Market,grocery-market,downtown,independent,https://www.facebook.com/p/Meridian-Area-Farmers-Market-100054552696032/,Front Street market next to Union Station
Shiloh Farmer's Market,grocery-market,,independent,https://m.yelp.com/biz/shiloh-farmers-market-meridian,"Produce market, Hwy 19 S"
